layer,batch_size,optimal_k
0,1,512
1,1,512
2,1,512
3,1,512
4,1,512
5,1,512
6,1,512
7,1,512
8,1,512
9,1,512
10,1,512
11,1,512
12,1,512
13,1,512
14,1,512
15,1,512
16,1,640
17,1,512
18,1,640
19,1,512
20,1,640
21,1,896
22,1,1152
23,1,1408
24,1,1792
25,1,2048
26,1,2560
27,1,2816
28,1,3072
29,1,3328
30,1,3712
31,1,3968
32,1,4096
33,1,4096
34,1,4096
35,1,4096
36,1,4096
37,1,4096
38,1,4096
39,1,4096
40,1,4096
41,1,4096
42,1,4096
43,1,4096
44,1,4096
45,1,4096
46,1,4096
47,1,4096
